Timestamp->Nilai Analog->Voltase
2026-07-02 19:59:12.514->104->0.508V
2026-07-02 19:59:12.804->101->0.494V
2026-07-02 19:59:13.092->99->0.484V
2026-07-02 19:59:13.378->96->0.469V
2026-07-02 19:59:13.664->94->0.459V
2026-07-02 19:59:13.950->92->0.450V
2026-07-02 19:59:14.236->90->0.440V
2026-07-02 19:59:14.522->87->0.425V
2026-07-02 19:59:14.808->86->0.420V
2026-07-02 19:59:15.093->83->0.406V
2026-07-02 19:59:15.379->82->0.401V
2026-07-02 19:59:15.666->80->0.391V
2026-07-02 19:59:15.952->79->0.386V
2026-07-02 19:59:16.237->77->0.376V
2026-07-02 19:59:16.522->76->0.371V
2026-07-02 19:59:16.807->75->0.367V
2026-07-02 19:59:17.092->73->0.357V
2026-07-02 19:59:17.378->72->0.352V
2026-07-02 19:59:17.663->70->0.342V
2026-07-02 19:59:17.949->69->0.337V
2026-07-02 19:59:18.236->68->0.332V
2026-07-02 19:59:18.522->66->0.323V
2026-07-02 19:59:18.808->66->0.323V
2026-07-02 19:59:19.095->65->0.318V
2026-07-02 19:59:19.380->64->0.313V
2026-07-02 19:59:19.666->62->0.303V
2026-07-02 19:59:19.953->61->0.298V
2026-07-02 19:59:20.239->61->0.298V
2026-07-02 19:59:20.526->59->0.288V
2026-07-02 19:59:20.812->58->0.283V
2026-07-02 19:59:21.100->58->0.283V
2026-07-02 19:59:21.387->57->0.279V
2026-07-02 19:59:21.672->56->0.274V
2026-07-02 19:59:21.958->55->0.269V
2026-07-02 19:59:22.244->55->0.269V
2026-07-02 19:59:22.531->54->0.264V
2026-07-02 19:59:22.817->54->0.264V
2026-07-02 19:59:23.104->53->0.259V
2026-07-02 19:59:23.391->52->0.254V
2026-07-02 19:59:23.678->51->0.249V
2026-07-02 19:59:23.964->51->0.249V
2026-07-02 19:59:24.250->50->0.244V
2026-07-02 19:59:24.537->50->0.244V
2026-07-02 19:59:24.823->49->0.239V
2026-07-02 19:59:25.109->49->0.239V
2026-07-02 19:59:25.396->48->0.235V
2026-07-02 19:59:25.682->48->0.235V
2026-07-02 19:59:25.967->47->0.230V
2026-07-02 19:59:26.253->46->0.225V
2026-07-02 19:59:26.539->46->0.225V
2026-07-02 19:59:26.825->46->0.225V
2026-07-02 19:59:27.111->46->0.225V
2026-07-02 19:59:27.398->45->0.220V
2026-07-02 19:59:27.684->45->0.220V
2026-07-02 19:59:27.970->44->0.215V
2026-07-02 19:59:28.256->44->0.215V
2026-07-02 19:59:28.542->43->0.210V
2026-07-02 19:59:28.827->44->0.215V
2026-07-02 19:59:29.113->43->0.210V
2026-07-02 19:59:29.398->42->0.205V
2026-07-02 19:59:29.683->42->0.205V
2026-07-02 19:59:29.968->42->0.205V
2026-07-02 19:59:30.253->41->0.200V
2026-07-02 19:59:30.539->41->0.200V
2026-07-02 19:59:30.825->41->0.200V
2026-07-02 19:59:31.111->41->0.200V
2026-07-02 19:59:31.397->40->0.196V
2026-07-02 19:59:31.684->41->0.200V
2026-07-02 19:59:31.971->40->0.196V
2026-07-02 19:59:32.259->39->0.191V
2026-07-02 19:59:32.544->39->0.191V
2026-07-02 19:59:32.829->39->0.191V
2026-07-02 19:59:33.115->39->0.191V
2026-07-02 19:59:33.400->39->0.191V
2026-07-02 19:59:33.686->38->0.186V
2026-07-02 19:59:33.971->38->0.186V
2026-07-02 19:59:34.257->38->0.186V
2026-07-02 19:59:34.543->38->0.186V
2026-07-02 19:59:34.827->37->0.181V
2026-07-02 19:59:35.112->37->0.181V
2026-07-02 19:59:35.397->37->0.181V
2026-07-02 19:59:35.682->37->0.181V
2026-07-02 19:59:35.967->37->0.181V
2026-07-02 19:59:36.252->36->0.176V
2026-07-02 19:59:36.537->37->0.181V
2026-07-02 19:59:36.823->37->0.181V
2026-07-02 19:59:37.108->36->0.176V
2026-07-02 19:59:37.394->36->0.176V
2026-07-02 19:59:37.679->36->0.176V
2026-07-02 19:59:37.964->35->0.171V
2026-07-02 19:59:38.249->36->0.176V
2026-07-02 19:59:38.534->35->0.171V
2026-07-02 19:59:38.819->35->0.171V
2026-07-02 19:59:39.104->35->0.171V
2026-07-02 19:59:39.388->35->0.171V
2026-07-02 19:59:39.673->34->0.166V
2026-07-02 19:59:39.957->35->0.171V
2026-07-02 19:59:40.242->35->0.171V
2026-07-02 19:59:40.526->34->0.166V
2026-07-02 19:59:40.810->34->0.166V
2026-07-02 19:59:41.094->34->0.166V
2026-07-02 19:59:41.378->34->0.166V
2026-07-02 19:59:41.663->33->0.161V
2026-07-02 19:59:41.947->34->0.166V
2026-07-02 19:59:42.232->33->0.161V
2026-07-02 19:59:42.518->33->0.161V
2026-07-02 19:59:42.803->33->0.161V
2026-07-02 19:59:43.088->33->0.161V
2026-07-02 19:59:43.373->33->0.161V
2026-07-02 19:59:43.658->33->0.161V
2026-07-02 19:59:43.944->33->0.161V
2026-07-02 19:59:44.229->32->0.156V
2026-07-02 19:59:44.514->33->0.161V
2026-07-02 19:59:44.799->33->0.161V
2026-07-02 19:59:45.085->32->0.156V
2026-07-02 19:59:45.370->32->0.156V
2026-07-02 19:59:45.655->32->0.156V
2026-07-02 19:59:45.940->32->0.156V
2026-07-02 19:59:46.226->32->0.156V
2026-07-02 19:59:46.511->32->0.156V
2026-07-02 19:59:46.797->32->0.156V
2026-07-02 19:59:47.082->32->0.156V
2026-07-02 19:59:47.367->31->0.152V
2026-07-02 19:59:47.652->32->0.156V
2026-07-02 19:59:47.937->31->0.152V
2026-07-02 19:59:48.221->31->0.152V
2026-07-02 19:59:48.506->31->0.152V
2026-07-02 19:59:48.790->31->0.152V
2026-07-02 19:59:49.075->31->0.152V
2026-07-02 19:59:49.359->31->0.152V
2026-07-02 19:59:49.644->30->0.147V
2026-07-02 19:59:49.929->31->0.152V
2026-07-02 19:59:50.213->31->0.152V
2026-07-02 19:59:50.498->31->0.152V
2026-07-02 19:59:50.783->30->0.147V
2026-07-02 19:59:51.069->31->0.152V
2026-07-02 19:59:51.354->31->0.152V
2026-07-02 19:59:51.639->31->0.152V
2026-07-02 19:59:51.924->31->0.152V
2026-07-02 19:59:52.210->30->0.147V
2026-07-02 19:59:52.496->30->0.147V
2026-07-02 19:59:52.782->30->0.147V
2026-07-02 19:59:53.068->30->0.147V
2026-07-02 19:59:53.354->30->0.147V
2026-07-02 19:59:53.640->30->0.147V
2026-07-02 19:59:53.926->30->0.147V
2026-07-02 19:59:54.213->30->0.147V
2026-07-02 19:59:54.498->29->0.142V
2026-07-02 19:59:54.784->30->0.147V
2026-07-02 19:59:55.070->30->0.147V
2026-07-02 19:59:55.355->30->0.147V
2026-07-02 19:59:55.642->30->0.147V
2026-07-02 19:59:55.927->29->0.142V
2026-07-02 19:59:56.212->29->0.142V
2026-07-02 19:59:56.497->29->0.142V
2026-07-02 19:59:56.783->29->0.142V
2026-07-02 19:59:57.068->29->0.142V
2026-07-02 19:59:57.353->29->0.142V
2026-07-02 19:59:57.638->29->0.142V
2026-07-02 19:59:57.923->29->0.142V
2026-07-02 19:59:58.209->29->0.142V
2026-07-02 19:59:58.494->29->0.142V
2026-07-02 19:59:58.779->29->0.142V
2026-07-02 19:59:59.064->29->0.142V
2026-07-02 19:59:59.349->29->0.142V
2026-07-02 19:59:59.634->29->0.142V
2026-07-02 19:59:59.920->28->0.137V
2026-07-02 20:00:00.205->29->0.142V
2026-07-02 20:00:00.491->28->0.137V
2026-07-02 20:00:00.775->29->0.142V
2026-07-02 20:00:01.061->28->0.137V
2026-07-02 20:00:01.346->29->0.142V
2026-07-02 20:00:01.631->28->0.137V
2026-07-02 20:00:01.917->28->0.137V
2026-07-02 20:00:02.202->28->0.137V
2026-07-02 20:00:02.487->28->0.137V
2026-07-02 20:00:02.773->28->0.137V
2026-07-02 20:00:03.058->28->0.137V
2026-07-02 20:00:03.343->28->0.137V
2026-07-02 20:00:03.629->28->0.137V
2026-07-02 20:00:03.914->28->0.137V
2026-07-02 20:00:04.200->28->0.137V
2026-07-02 20:00:04.485->28->0.137V
2026-07-02 20:00:04.770->28->0.137V
2026-07-02 20:00:05.055->28->0.137V
2026-07-02 20:00:05.341->28->0.137V
2026-07-02 20:00:05.626->28->0.137V
2026-07-02 20:00:05.911->28->0.137V
2026-07-02 20:00:06.197->28->0.137V
2026-07-02 20:00:06.482->28->0.137V
2026-07-02 20:00:06.767->27->0.132V
2026-07-02 20:00:07.052->28->0.137V
2026-07-02 20:00:07.336->27->0.132V
2026-07-02 20:00:07.621->28->0.137V
2026-07-02 20:00:07.907->28->0.137V
2026-07-02 20:00:08.191->28->0.137V
2026-07-02 20:00:08.476->27->0.132V
2026-07-02 20:00:08.761->27->0.132V
2026-07-02 20:00:09.045->27->0.132V
2026-07-02 20:00:09.330->27->0.132V
2026-07-02 20:00:09.614->27->0.132V
2026-07-02 20:00:09.899->27->0.132V
2026-07-02 20:00:10.183->27->0.132V
2026-07-02 20:00:10.468->27->0.132V
2026-07-02 20:00:10.752->27->0.132V
2026-07-02 20:00:11.037->27->0.132V
2026-07-02 20:00:11.321->27->0.132V
2026-07-02 20:00:11.606->27->0.132V
2026-07-02 20:00:11.890->27->0.132V
2026-07-02 20:00:12.175->27->0.132V
2026-07-02 20:00:12.459->27->0.132V
2026-07-02 20:00:12.744->27->0.132V
2026-07-02 20:00:13.029->27->0.132V
2026-07-02 20:00:13.313->27->0.132V
2026-07-02 20:00:13.598->27->0.132V
2026-07-02 20:00:13.883->26->0.127V
2026-07-02 20:00:14.167->27->0.132V
2026-07-02 20:00:14.452->26->0.127V
2026-07-02 20:00:14.737->27->0.132V
2026-07-02 20:00:15.022->27->0.132V
2026-07-02 20:00:15.307->27->0.132V
2026-07-02 20:00:15.591->27->0.132V
2026-07-02 20:00:15.876->26->0.127V
2026-07-02 20:00:16.162->27->0.132V
2026-07-02 20:00:16.447->26->0.127V
2026-07-02 20:00:16.732->26->0.127V
2026-07-02 20:00:17.017->26->0.127V
2026-07-02 20:00:17.302->27->0.132V
2026-07-02 20:00:17.587->26->0.127V
2026-07-02 20:00:17.872->26->0.127V
2026-07-02 20:00:18.158->26->0.127V
2026-07-02 20:00:18.443->26->0.127V
2026-07-02 20:00:18.728->26->0.127V
2026-07-02 20:00:19.013->26->0.127V
2026-07-02 20:00:19.299->26->0.127V
2026-07-02 20:00:19.584->26->0.127V
2026-07-02 20:00:19.869->26->0.127V
2026-07-02 20:00:20.155->26->0.127V
2026-07-02 20:00:20.440->26->0.127V
2026-07-02 20:00:20.726->26->0.127V
2026-07-02 20:00:21.011->26->0.127V
2026-07-02 20:00:21.296->26->0.127V
2026-07-02 20:00:21.582->25->0.122V
2026-07-02 20:00:21.867->26->0.127V
2026-07-02 20:00:22.153->26->0.127V
2026-07-02 20:00:22.438->26->0.127V
2026-07-02 20:00:22.724->26->0.127V
2026-07-02 20:00:23.009->26->0.127V
2026-07-02 20:00:23.294->26->0.127V
2026-07-02 20:00:23.580->26->0.127V
2026-07-02 20:00:23.865->26->0.127V
2026-07-02 20:00:24.151->26->0.127V
2026-07-02 20:00:24.436->26->0.127V
2026-07-02 20:00:24.722->26->0.127V
2026-07-02 20:00:25.007->25->0.122V
2026-07-02 20:00:25.292->26->0.127V
2026-07-02 20:00:25.578->25->0.122V
2026-07-02 20:00:25.864->25->0.122V
2026-07-02 20:00:26.149->25->0.122V
2026-07-02 20:00:26.435->25->0.122V
2026-07-02 20:00:26.721->25->0.122V
2026-07-02 20:00:27.006->25->0.122V
2026-07-02 20:00:27.292->26->0.127V
2026-07-02 20:00:27.577->25->0.122V
2026-07-02 20:00:27.863->25->0.122V
2026-07-02 20:00:28.149->25->0.122V
2026-07-02 20:00:28.434->25->0.122V
2026-07-02 20:00:28.720->25->0.122V
2026-07-02 20:00:29.006->25->0.122V
2026-07-02 20:00:29.291->25->0.122V
2026-07-02 20:00:29.577->25->0.122V
2026-07-02 20:00:29.863->25->0.122V
2026-07-02 20:00:30.149->25->0.122V
2026-07-02 20:00:30.434->25->0.122V
2026-07-02 20:00:30.720->25->0.122V
2026-07-02 20:00:31.006->25->0.122V
2026-07-02 20:00:31.292->25->0.122V
2026-07-02 20:00:31.577->25->0.122V
2026-07-02 20:00:31.863->25->0.122V
2026-07-02 20:00:32.149->25->0.122V
2026-07-02 20:00:32.435->25->0.122V
2026-07-02 20:00:32.720->24->0.117V
2026-07-02 20:00:33.006->25->0.122V
2026-07-02 20:00:33.291->25->0.122V
2026-07-02 20:00:33.576->24->0.117V
2026-07-02 20:00:33.862->25->0.122V
2026-07-02 20:00:34.147->25->0.122V
2026-07-02 20:00:34.433->25->0.122V
2026-07-02 20:00:34.719->25->0.122V
